Year,Surgery,# of Cases
2018,Pancreas,7
2018,Colon,37
2016,Breast,92
2017,Esophagus,2
2016,Rectum,25
2018,Esophagus,1
2018,Breast,94
2015,Prostate,33
2017,Bladder,1
2014,Bladder,1
2014,Breast,94
2014,Pancreas,2
2014,Prostate,28
2014,Rectum,6
2014,Colon,40
2020,Pancreas,17
2020,Prostate,26
2013,Lung,20
2015,Stomach,6
2017,Rectum,19
2017,Pancreas,5
2014,Stomach,6
2014,Brain,8
2016,Pancreas,7
2018,Lung,18
2018,Rectum,24
2013,Rectum,10
2021,Pancreas,8
2021,Liver,12
2021,Stomach,8
2021,Prostate,1
2021,Colon,23
2017,Rectum,5
2013,Prostate,1
2017,Brain,7
2013,Brain,8
2017,Colon,16
2020,Colon,23
2013,Colon,14
2015,Pancreas,4
2013,Lung,5
2016,Breast,28
2013,Stomach,5
2019,Prostate,2
2016,Liver,12
2016,Colon,18
2020,Brain,12
2020,Liver,10
2020,Breast,25
2020,Rectum,17
2021,Brain,12
2020,Lung,13
2021,Rectum,11
2021,Breast,17
2015,Stomach,2
2016,Lung,6
2018,Lung,11
2013,Rectum,5
2019,Breast,27
2019,Brain,4
2018,Brain,6
2017,Liver,8
2017,Breast,26
2018,Breast,29
2019,Rectum,9
2019,Stomach,9
2013,Breast,32
2015,Breast,20
2016,Stomach,9
2019,Liver,19
2019,Lung,13
2020,Stomach,6
2018,Liver,9
2018,Rectum,13
2018,Stomach,5
2017,Pancreas,6
2018,Pancreas,5
2018,Colon,21
2018,Prostate,2
2015,Liver,6
2019,Pancreas,3
2014,Breast,21
2014,Liver,15
2014,Lung,5
2014,Pancreas,4
2014,Prostate,2
2014,Rectum,6
2014,Stomach,11
2015,Colon,18
2015,Lung,4
2016,Rectum,15
2014,Brain,6
2013,Liver,12
2013,Pancreas,8
2020,Pancreas,9
2017,Lung,6
2016,Brain,7
2017,Prostate,2
2019,Colon,24
2020,Prostate,2
2014,Colon,20
2021,Lung,9
2016,Prostate,3
2016,Pancreas,8
2017,Stomach,11
2015,Brain,6
2016,Bladder,1
2014,Brain,19
2021,Liver,19
2021,Prostate,52
2021,Rectum,39
2021,Stomach,12
2015,Lung,16
2015,Liver,8
2013,Breast,145
2013,Prostate,122
2013,Stomach,12
2017,Lung,39
2013,Esophagus,1
2013,Brain,27
2013,Lung,25
2015,Pancreas,11
2016,Brain,25
2017,Pancreas,17
2016,Esophagus,4
2019,Pancreas,24
2020,Liver,19
2020,Brain,19
2020,Colon,55
2020,Esophagus,5
2015,Colon,36
2016,Colon,81
2014,Liver,17
2015,Breast,80
2014,Rectum,31
2020,Stomach,9
2015,Esophagus,4
2021,Colon,75
2021,Esophagus,2
2021,Breast,72
2016,Bladder,15
2013,Colon,61
2015,Brain,12
2016,Lung,37
2017,Brain,23
2018,Pancreas,11
2016,Stomach,16
2021,Pancreas,20
2019,Breast,120
2019,Lung,31
2014,Colon,69
2017,Rectum,35
2016,Breast,134
2021,Bladder,4
2021,Brain,19
2017,Bladder,21
2020,Breast,90
2020,Prostate,99
2016,Rectum,41
2014,Breast,99
2014,Prostate,142
2020,Rectum,29
2018,Breast,83
2018,Liver,27
2018,Lung,23
2018,Prostate,163
2018,Stomach,9
2020,Bladder,15
2018,Esophagus,4
2018,Brain,22
2018,Bladder,20
2014,Bladder,8
2014,Esophagus,5
2014,Pancreas,13
2014,Lung,32
2014,Stomach,21
2016,Liver,32
2017,Stomach,18
2017,Breast,124
2019,Prostate,147
2013,Rectum,18
2013,Bladder,6
2019,Stomach,15
2015,Bladder,11
2019,Brain,23
2019,Bladder,18
2019,Esophagus,13
2019,Liver,22
2018,Rectum,36
2016,Prostate,194
2017,Esophagus,6
2015,Stomach,13
2018,Colon,67
2021,Lung,27
2015,Prostate,109
2013,Pancreas,16
2017,Colon,81
2020,Lung,43
2020,Pancreas,16
2019,Colon,55
2016,Pancreas,20
2015,Rectum,14
2019,Rectum,39
2017,Prostate,167
2017,Liver,24
2013,Liver,8
2021,Breast,30
2021,Lung,2
2021,Stomach,1
2013,Brain,3
2013,Stomach,2
2019,Stomach,4
2019,Breast,30
2020,Breast,44
2018,Breast,25
2015,Brain,1
2017,Prostate,1
2017,Breast,11
2020,Lung,1
2013,Rectum,3
2020,Stomach,2
2018,Prostate,1
2016,Colon,15
2016,Rectum,5
2017,Rectum,1
2021,Rectum,9
2019,Brain,1
2019,Esophagus,1
2019,Lung,1
2019,Rectum,3
2016,Stomach,1
2016,Lung,10
2016,Breast,24
2016,Brain,1
2016,Bladder,1
2017,Colon,20
2015,Colon,7
2017,Stomach,3
2015,Rectum,4
2020,Colon,8
2017,Pancreas,1
2017,Brain,2
2013,Lung,6
2021,Colon,8
2015,Breast,12
2018,Colon,13
2018,Lung,2
2018,Rectum,3
2018,Stomach,1
2014,Rectum,3
2014,Breast,52
2014,Brain,3
2014,Colon,11
2017,Lung,1
2013,Breast,36
2013,Colon,31
2019,Colon,13
2015,Lung,7
2014,Lung,10
2020,Rectum,3
2021,Breast,367
2021,Rectum,23
2021,Stomach,14
2021,Esophagus,1
2017,Prostate,68
2015,Liver,4
2013,Breast,286
2017,Liver,7
2013,Colon,81
2013,Liver,2
2013,Rectum,23
2016,Colon,59
2013,Brain,3
2013,Esophagus,12
2016,Brain,21
2016,Bladder,13
2020,Lung,65
2020,Rectum,29
2019,Stomach,6
2019,Lung,58
2019,Breast,354
2016,Esophagus,5
2016,Pancreas,9
2020,Esophagus,5
2020,Pancreas,8
2020,Bladder,2
2018,Prostate,45
2016,Prostate,67
2016,Stomach,10
2013,Prostate,63
2016,Rectum,29
2018,Colon,57
2015,Stomach,7
2017,Rectum,38
2016,Lung,48
2021,Colon,70
2016,Liver,8
2019,Esophagus,2
2019,Brain,19
2019,Liver,6
2019,Pancreas,4
2019,Prostate,40
2017,Bladder,4
2015,Colon,70
2021,Pancreas,9
2015,Brain,7
2015,Lung,32
2020,Prostate,34
2021,Brain,20
2015,Bladder,13
2014,Stomach,6
2021,Lung,51
2013,Lung,37
2013,Stomach,13
2021,Liver,6
2015,Rectum,21
2014,Rectum,24
2018,Stomach,7
2018,Breast,371
2018,Liver,6
2018,Pancreas,8
2018,Rectum,29
2018,Lung,46
2014,Brain,6
2014,Bladder,17
2014,Breast,69
2014,Colon,84
2014,Esophagus,5
2014,Lung,50
2014,Liver,3
2014,Pancreas,1
2021,Bladder,1
2021,Prostate,47
2020,Brain,20
2020,Breast,403
2020,Liver,10
2019,Rectum,32
2018,Bladder,2
2018,Brain,17
2013,Bladder,7
2019,Bladder,2
2019,Colon,65
2018,Esophagus,2
2015,Esophagus,6
2015,Prostate,52
2017,Colon,96
2017,Breast,347
2017,Brain,13
2015,Pancreas,4
2020,Stomach,10
2017,Pancreas,8
2017,Esophagus,5
2020,Colon,70
2017,Stomach,6
2015,Breast,77
2016,Breast,279
2014,Prostate,74
2017,Lung,47
2019,Breast,301
2019,Brain,114
2019,Rectum,43
2021,Brain,92
2021,Breast,303
2021,Colon,60
2021,Esophagus,3
2021,Lung,49
2013,Prostate,72
2013,Rectum,27
2013,Stomach,12
2018,Esophagus,7
2013,Pancreas,23
2013,Bladder,25
2013,Breast,238
2013,Brain,44
2013,Colon,50
2017,Stomach,21
2013,Esophagus,1
2013,Liver,68
2015,Bladder,14
2015,Lung,29
2013,Lung,48
2021,Stomach,10
2016,Stomach,14
2016,Rectum,55
2020,Stomach,18
2020,Brain,127
2020,Rectum,35
2015,Liver,58
2016,Colon,49
2020,Bladder,25
2020,Colon,54
2019,Prostate,72
2019,Bladder,36
2019,Esophagus,4
2016,Brain,73
2016,Bladder,31
2016,Pancreas,18
2017,Brain,73
2019,Stomach,13
2019,Lung,53
2019,Colon,41
2019,Liver,73
2019,Pancreas,12
2015,Colon,41
2017,Breast,278
2015,Esophagus,9
2015,Breast,192
2017,Bladder,29
2017,Prostate,77
2021,Bladder,39
2016,Prostate,68
2016,Liver,86
2018,Stomach,16
2018,Pancreas,20
2021,Rectum,44
2021,Prostate,37
2021,Liver,68
2018,Breast,265
2018,Rectum,36
2018,Lung,49
2018,Bladder,23
2018,Colon,62
2014,Bladder,20
2014,Brain,50
2014,Breast,226
2014,Colon,48
2014,Esophagus,9
2014,Liver,83
2014,Lung,42
2014,Pancreas,16
2014,Prostate,52
2014,Rectum,26
2014,Stomach,16
2015,Brain,58
2017,Liver,89
2015,Pancreas,13
2015,Rectum,21
2020,Lung,59
2020,Prostate,42
2020,Pancreas,13
2020,Esophagus,5
2018,Liver,81
2018,Prostate,74
2018,Brain,100
2016,Breast,240
2016,Esophagus,9
2017,Esophagus,8
2015,Prostate,41
2017,Lung,46
2017,Pancreas,19
2021,Pancreas,18
2020,Liver,59
2020,Breast,236
2016,Lung,39
2017,Rectum,43
2017,Colon,57
2015,Stomach,14
2021,Pancreas,3
2021,Stomach,6
2021,Bladder,1
2013,Bladder,1
2013,Breast,236
2013,Pancreas,10
2013,Prostate,10
2013,Rectum,6
2013,Stomach,12
2015,Rectum,8
2015,Pancreas,3
2015,Esophagus,4
2015,Colon,37
2013,Liver,5
2020,Lung,1
2020,Prostate,1
2020,Colon,55
2020,Rectum,12
2015,Bladder,7
2013,Colon,41
2020,Stomach,8
2020,Pancreas,2
2020,Liver,1
2017,Liver,4
2017,Esophagus,2
2016,Colon,46
2016,Esophagus,4
2020,Breast,281
2016,Pancreas,15
2016,Liver,2
2016,Breast,284
2019,Pancreas,8
2019,Colon,67
2019,Breast,339
2016,Stomach,11
2016,Bladder,4
2017,Bladder,2
2019,Rectum,12
2019,Stomach,7
2019,Liver,1
2017,Stomach,8
2017,Rectum,18
2017,Colon,48
2018,Liver,2
2021,Rectum,10
2021,Liver,3
2021,Colon,52
2018,Esophagus,4
2018,Lung,2
2018,Rectum,11
2018,Stomach,6
2018,Prostate,1
2014,Stomach,9
2014,Colon,48
2014,Rectum,7
2014,Prostate,5
2014,Pancreas,6
2014,Esophagus,1
2014,Breast,267
2014,Liver,3
2015,Breast,176
2016,Rectum,13
2018,Pancreas,13
2018,Colon,49
2018,Breast,276
2015,Stomach,8
2021,Breast,354
2017,Prostate,2
2017,Pancreas,8
2017,Breast,295
2021,Breast,211
2021,Bladder,1
2021,Esophagus,5
2021,Liver,1
2021,Rectum,37
2017,Pancreas,6
2017,Liver,7
2018,Prostate,94
2018,Stomach,10
2013,Lung,65
2016,Liver,3
2016,Lung,46
2016,Esophagus,7
2015,Rectum,2
2018,Breast,229
2018,Pancreas,8
2020,Colon,45
2013,Esophagus,4
2019,Lung,77
2018,Liver,5
2019,Pancreas,10
2020,Breast,194
2020,Stomach,3
2020,Esophagus,6
2020,Lung,75
2020,Pancreas,4
2020,Liver,1
2020,Prostate,77
2013,Rectum,4
2015,Colon,38
2015,Esophagus,1
2017,Colon,46
2017,Rectum,6
2021,Stomach,8
2017,Lung,58
2019,Esophagus,6
2019,Rectum,28
2017,Stomach,3
2017,Prostate,1
2016,Prostate,2
2019,Colon,64
2019,Prostate,121
2019,Stomach,5
2013,Liver,3
2013,Stomach,10
2013,Colon,49
2015,Stomach,9
2015,Pancreas,3
2013,Pancreas,5
2015,Liver,1
2013,Bladder,3
2015,Lung,35
2018,Rectum,14
2018,Colon,56
2018,Esophagus,2
2020,Rectum,30
2014,Pancreas,10
2014,Bladder,1
2014,Breast,162
2014,Esophagus,2
2014,Liver,2
2014,Lung,47
2014,Colon,37
2014,Prostate,2
2014,Rectum,6
2014,Stomach,17
2015,Bladder,4
2017,Esophagus,3
2021,Lung,68
2013,Breast,167
2021,Pancreas,3
2021,Prostate,28
2018,Lung,64
2016,Pancreas,4
2016,Breast,191
2016,Colon,55
2019,Breast,175
2015,Breast,108
2017,Breast,210
2021,Colon,52
2016,Rectum,6
2016,Stomach,7
2016,Lung,26
2021,Esophagus,1
2021,Rectum,12
2021,Stomach,5
2021,Colon,35
2017,Breast,265
2017,Prostate,236
2017,Bladder,7
2013,Prostate,342
2018,Colon,50
2018,Liver,6
2019,Liver,6
2020,Prostate,45
2020,Esophagus,4
2021,Bladder,6
2019,Pancreas,14
2019,Colon,49
2019,Lung,40
2020,Breast,274
2020,Rectum,14
2020,Liver,5
2013,Pancreas,10
2016,Colon,38
2013,Breast,179
2018,Lung,35
2018,Prostate,143
2018,Breast,269
2016,Prostate,253
2013,Bladder,5
2015,Pancreas,7
2013,Colon,59
2018,Stomach,4
2020,Colon,27
2020,Lung,35
2016,Breast,271
2017,Stomach,4
2021,Breast,277
2018,Pancreas,11
2019,Breast,320
2019,Esophagus,4
2019,Prostate,76
2019,Rectum,14
2019,Stomach,8
2017,Colon,39
2013,Stomach,9
2017,Pancreas,12
2015,Esophagus,1
2016,Stomach,6
2021,Lung,28
2013,Rectum,10
2016,Bladder,3
2019,Bladder,6
2020,Bladder,4
2020,Stomach,3
2016,Esophagus,1
2016,Rectum,24
2015,Liver,4
2018,Rectum,25
2018,Bladder,7
2017,Esophagus,3
2014,Rectum,9
2014,Liver,6
2014,Bladder,1
2014,Breast,196
2014,Colon,39
2014,Lung,8
2014,Pancreas,6
2014,Prostate,239
2014,Stomach,12
2013,Lung,3
2016,Pancreas,7
2020,Pancreas,12
2016,Liver,7
2015,Breast,164
2015,Colon,41
2015,Lung,28
2015,Prostate,171
2015,Rectum,9
2015,Stomach,2
2013,Liver,7
2017,Rectum,29
2017,Lung,34
2017,Liver,9
2021,Prostate,13
2021,Pancreas,9
2016,Breast,1
2017,Breast,1
2017,Colon,2
2021,Stomach,7
2021,Breast,223
2021,Lung,9
2021,Liver,4
2013,Pancreas,7
2021,Pancreas,6
2021,Brain,39
2013,Brain,4
2015,Brain,2
2013,Prostate,33
2021,Colon,38
2017,Liver,5
2017,Pancreas,3
2017,Prostate,35
2017,Lung,10
2016,Stomach,7
2016,Prostate,30
2016,Pancreas,6
2016,Lung,9
2017,Stomach,3
2017,Breast,181
2016,Liver,11
2020,Brain,31
2020,Breast,199
2020,Prostate,15
2013,Bladder,2
2019,Bladder,1
2019,Stomach,5
2018,Rectum,19
2018,Prostate,35
2018,Colon,57
2018,Stomach,6
2020,Pancreas,6
2016,Colon,49
2019,Prostate,12
2018,Pancreas,2
2018,Breast,213
2019,Liver,9
2019,Rectum,12
2019,Pancreas,4
2020,Rectum,18
2021,Prostate,13
2020,Colon,36
2016,Rectum,21
2020,Lung,7
2020,Liver,5
2020,Stomach,6
2013,Rectum,8
2019,Brain,29
2021,Rectum,24
2019,Colon,47
2018,Liver,6
2018,Lung,3
2014,Brain,2
2014,Prostate,33
2014,Bladder,1
2014,Pancreas,11
2014,Rectum,5
2014,Stomach,5
2014,Breast,134
2014,Colon,33
2014,Liver,15
2014,Lung,10
2013,Breast,127
2013,Liver,8
2013,Colon,33
2017,Bladder,1
2016,Bladder,6
2016,Brain,8
2013,Lung,16
2013,Stomach,4
2016,Breast,163
2019,Lung,8
2015,Lung,9
2015,Colon,25
2015,Pancreas,4
2015,Rectum,8
2015,Liver,7
2015,Esophagus,1
2015,Bladder,1
2015,Breast,86
2015,Prostate,31
2015,Stomach,2
2017,Rectum,18
2018,Brain,22
2017,Colon,43
2017,Brain,12
2019,Esophagus,3
2019,Breast,206
2013,Rectum,1
2013,Colon,2
2016,Stomach,1
2016,Prostate,1
2016,Pancreas,1
2016,Colon,3
2014,Colon,1
2014,Breast,1
2017,Breast,1
2015,Breast,2
2015,Colon,3
2017,Rectum,1
2017,Liver,1
2013,Stomach,1
2017,Colon,2
2018,Colon,8
2021,Prostate,2
2021,Breast,17
2021,Colon,18
2013,Prostate,6
2017,Rectum,2
2020,Colon,5
2019,Breast,19
2020,Breast,10
2016,Colon,6
2016,Liver,1
2013,Lung,2
2021,Rectum,5
2013,Colon,10
2016,Lung,3
2020,Rectum,3
2018,Rectum,8
2018,Liver,1
2018,Lung,1
2018,Breast,13
2013,Rectum,2
2016,Breast,21
2015,Stomach,1
2018,Stomach,1
2014,Breast,32
2014,Colon,12
2014,Lung,6
2014,Prostate,1
2014,Rectum,5
2014,Stomach,1
2017,Breast,21
2019,Colon,11
2021,Stomach,2
2017,Lung,1
2015,Breast,20
2015,Colon,11
2015,Lung,2
2015,Prostate,1
2015,Rectum,2
2013,Breast,44
2019,Rectum,1
2017,Colon,5
2016,Rectum,3
2018,Breast,140
2021,Pancreas,2
2021,Rectum,24
2021,Stomach,2
2021,Prostate,19
2018,Liver,4
2017,Bladder,1
2017,Esophagus,1
2017,Lung,12
2017,Rectum,21
2017,Prostate,42
2017,Stomach,5
2020,Prostate,28
2016,Prostate,36
2021,Bladder,2
2021,Lung,6
2021,Colon,47
2020,Rectum,19
2020,Breast,111
2013,Breast,143
2019,Stomach,1
2019,Colon,41
2015,Rectum,12
2015,Brain,4
2020,Pancreas,2
2013,Bladder,1
2016,Brain,3
2020,Stomach,1
2015,Liver,1
2016,Rectum,26
2018,Rectum,26
2018,Pancreas,2
2013,Rectum,13
2013,Colon,31
2021,Brain,1
2017,Colon,40
2016,Breast,123
2016,Bladder,1
2013,Liver,1
2018,Brain,4
2020,Bladder,4
2018,Prostate,37
2018,Colon,43
2018,Bladder,3
2019,Lung,8
2019,Rectum,13
2019,Breast,186
2019,Prostate,30
2019,Pancreas,2
2019,Liver,4
2016,Liver,2
2016,Pancreas,1
2014,Liver,1
2014,Colon,31
2014,Stomach,3
2014,Bladder,2
2014,Brain,3
2014,Breast,105
2014,Lung,4
2014,Prostate,2
2014,Rectum,12
2016,Lung,5
2016,Colon,31
2020,Colon,32
2017,Brain,5
2016,Stomach,3
2015,Stomach,3
2015,Lung,5
2015,Prostate,20
2015,Breast,105
2015,Colon,23
2013,Stomach,5
2021,Breast,122
2013,Lung,9
2020,Lung,2
2017,Pancreas,1
2017,Breast,138
2019,Bladder,3
2018,Lung,7
2013,Brain,1
2021,Stomach,2
2017,Colon,8
2021,Breast,8
2020,Stomach,1
2021,Colon,5
2020,Lung,1
2021,Rectum,1
2019,Colon,3
2019,Stomach,1
2019,Prostate,1
2016,Colon,6
2016,Prostate,1
2016,Rectum,3
2016,Breast,16
2018,Breast,8
2018,Colon,7
2020,Colon,8
2018,Liver,1
2018,Rectum,1
2014,Breast,6
2014,Colon,6
2014,Rectum,1
2014,Lung,1
2019,Breast,6
2016,Stomach,1
2015,Breast,7
2015,Rectum,1
2015,Colon,5
2013,Breast,6
2013,Colon,5
2013,Lung,1
2017,Breast,9
2017,Bladder,1
2020,Breast,6
2020,Pancreas,1
2021,Prostate,3
2021,Rectum,19
2021,Brain,2
2020,Prostate,1
2020,Brain,3
2017,Prostate,4
2020,Colon,21
2021,Liver,1
2020,Liver,1
2020,Rectum,14
2020,Breast,30
2021,Colon,25
2021,Lung,9
2020,Lung,13
2021,Breast,16
2016,Rectum,16
2019,Colon,31
2017,Stomach,1
2017,Rectum,18
2019,Lung,10
2019,Liver,3
2019,Breast,36
2019,Rectum,17
2019,Stomach,2
2016,Stomach,6
2016,Prostate,1
2016,Lung,17
2016,Liver,3
2016,Colon,43
2016,Breast,32
2016,Brain,2
2016,Bladder,1
2017,Lung,21
2018,Colon,32
2018,Lung,12
2013,Prostate,1
2018,Breast,24
2018,Liver,1
2018,Prostate,1
2018,Rectum,29
2014,Lung,18
2014,Colon,38
2014,Stomach,5
2014,Breast,39
2014,Brain,2
2014,Rectum,26
2018,Bladder,2
2017,Brain,3
2019,Brain,3
2013,Brain,3
2013,Colon,31
2013,Breast,59
2013,Lung,13
2013,Rectum,21
2015,Bladder,1
2015,Brain,2
2015,Colon,28
2015,Lung,8
2015,Prostate,1
2015,Rectum,15
2015,Breast,19
2013,Stomach,3
2017,Breast,35
2017,Colon,28
2017,Bladder,1
2021,Rectum,3
2021,Breast,6
2021,Liver,1
2021,Brain,3
2020,Colon,2
2020,Breast,3
2020,Rectum,5
2021,Colon,3
2019,Prostate,1
2019,Colon,11
2019,Breast,3
2019,Stomach,1
2019,Brain,1
2016,Breast,19
2017,Colon,5
2017,Prostate,2
2018,Liver,1
2018,Rectum,2
2014,Bladder,1
2014,Colon,6
2014,Lung,2
2014,Prostate,18
2014,Stomach,1
2014,Breast,5
2018,Breast,4
2018,Stomach,1
2018,Prostate,2
2018,Colon,5
2013,Breast,6
2013,Prostate,25
2013,Colon,5
2013,Bladder,1
2015,Brain,1
2015,Breast,2
2015,Colon,2
2017,Breast,18
2016,Rectum,1
2016,Colon,4
2016,Prostate,2
2019,Rectum,2
2021,Liver,9
2021,Stomach,5
2021,Lung,29
2021,Prostate,6
2017,Prostate,19
2016,Prostate,20
2019,Pancreas,7
2020,Colon,47
2020,Rectum,40
2019,Breast,304
2020,Prostate,6
2020,Liver,10
2020,Pancreas,6
2020,Breast,270
2020,Stomach,2
2020,Lung,38
2016,Liver,9
2013,Rectum,17
2021,Pancreas,7
2020,Esophagus,2
2021,Rectum,27
2021,Breast,278
2021,Brain,39
2016,Bladder,1
2016,Brain,27
2019,Colon,71
2017,Liver,7
2019,Brain,26
2019,Esophagus,4
2019,Lung,49
2019,Prostate,15
2019,Rectum,43
2016,Breast,266
2016,Esophagus,3
2017,Rectum,44
2016,Lung,28
2016,Stomach,7
2016,Pancreas,1
2018,Breast,267
2018,Esophagus,3
2018,Pancreas,3
2018,Stomach,9
2018,Liver,13
2019,Liver,7
2014,Brain,26
2014,Breast,239
2014,Colon,51
2014,Liver,4
2014,Lung,48
2014,Pancreas,2
2014,Prostate,14
2014,Rectum,22
2014,Stomach,3
2016,Rectum,39
2018,Rectum,38
2017,Brain,31
2018,Prostate,11
2016,Colon,79
2020,Brain,24
2013,Bladder,1
2018,Brain,20
2013,Brain,18
2018,Colon,71
2021,Esophagus,2
2013,Colon,67
2013,Esophagus,1
2013,Liver,2
2013,Lung,36
2013,Pancreas,1
2018,Lung,40
2013,Prostate,16
2013,Stomach,3
2015,Breast,176
2015,Brain,15
2015,Colon,54
2015,Liver,6
2015,Lung,25
2015,Prostate,9
2015,Rectum,22
2015,Stomach,5
2017,Colon,65
2017,Breast,227
2017,Esophagus,2
2021,Colon,38
2019,Stomach,7
2017,Lung,41
2017,Stomach,7
2013,Breast,221
2021,Colon,39
2021,Rectum,15
2021,Stomach,1
2021,Pancreas,3
2017,Colon,33
2017,Pancreas,2
2017,Stomach,3
2017,Rectum,19
2019,Rectum,25
2019,Lung,2
2019,Pancreas,3
2019,Colon,31
2019,Liver,5
2019,Prostate,2
2016,Breast,47
2013,Liver,1
2020,Stomach,8
2019,Brain,6
2019,Breast,99
2020,Lung,3
2020,Liver,3
2020,Brain,7
2020,Pancreas,2
2020,Rectum,18
2020,Breast,111
2021,Brain,8
2021,Breast,101
2021,Bladder,1
2019,Stomach,9
2021,Liver,1
2016,Stomach,5
2013,Stomach,5
2020,Bladder,1
2020,Colon,27
2016,Rectum,25
2013,Bladder,1
2018,Bladder,1
2019,Bladder,2
2018,Brain,9
2018,Breast,102
2018,Colon,40
2018,Lung,4
2018,Prostate,1
2018,Stomach,5
2014,Bladder,1
2014,Brain,6
2014,Breast,60
2014,Pancreas,2
2014,Colon,41
2014,Lung,5
2014,Stomach,1
2014,Rectum,10
2016,Colon,48
2017,Brain,7
2016,Liver,6
2017,Liver,4
2017,Bladder,1
2013,Breast,71
2013,Colon,32
2013,Pancreas,1
2016,Lung,2
2013,Brain,7
2016,Pancreas,2
2013,Rectum,6
2018,Rectum,13
2018,Pancreas,2
2018,Liver,3
2015,Brain,2
2015,Breast,32
2015,Colon,23
2015,Liver,2
2015,Lung,2
2015,Pancreas,1
2015,Stomach,3
2015,Rectum,7
2016,Esophagus,1
2013,Lung,9
2017,Lung,1
2017,Esophagus,3
2017,Breast,80
2016,Brain,11
2018,Colon,2
2016,Breast,10
2019,Breast,35
2020,Prostate,7
2017,Bladder,2
2016,Prostate,5
2016,Stomach,1
2016,Rectum,1
2016,Colon,2
2021,Prostate,2
2019,Prostate,6
2017,Stomach,1
2020,Bladder,2
2020,Colon,5
2017,Colon,5
2018,Stomach,1
2018,Rectum,3
2018,Prostate,4
2014,Colon,5
2014,Lung,1
2014,Prostate,3
2014,Rectum,3
2014,Stomach,1
2014,Breast,10
2013,Breast,16
2013,Colon,5
2019,Colon,1
2019,Liver,1
2019,Stomach,1
2015,Stomach,1
2015,Breast,7
2015,Colon,5
2015,Prostate,2
2015,Rectum,1
2013,Stomach,2
2017,Prostate,11
2017,Lung,2
2018,Breast,22
2020,Breast,39
2017,Rectum,2
2017,Breast,21
2018,Bladder,1
2021,Breast,12
2016,Colon,1
2021,Lung,1
2021,Rectum,3
2021,Stomach,1
2017,Lung,3
2016,Bladder,1
2020,Breast,17
2018,Brain,3
2018,Breast,20
2016,Breast,37
2020,Rectum,3
2020,Stomach,1
2017,Stomach,1
2019,Colon,3
2016,Liver,1
2019,Brain,1
2019,Rectum,6
2019,Stomach,6
2016,Colon,11
2016,Prostate,1
2021,Prostate,1
2016,Lung,1
2021,Colon,8
2018,Colon,8
2019,Breast,16
2019,Liver,1
2019,Lung,1
2019,Pancreas,1
2019,Prostate,1
2013,Stomach,1
2013,Colon,5
2021,Breast,11
2017,Liver,2
2020,Pancreas,1
2020,Colon,7
2020,Brain,1
2017,Breast,25
2016,Rectum,6
2014,Stomach,2
2014,Rectum,3
2014,Breast,33
2014,Colon,11
2014,Lung,1
2017,Colon,11
2013,Breast,17
2013,Rectum,1
2015,Breast,29
2015,Colon,10
2015,Liver,1
2015,Pancreas,1
2015,Rectum,1
2021,Brain,1
2017,Rectum,3
2018,Rectum,3
2018,Lung,3
2021,Colon,143
2021,Brain,143
2021,Liver,33
2021,Pancreas,45
2021,Rectum,74
2021,Esophagus,19
2020,Stomach,23
2020,Liver,38
2016,Liver,53
2016,Rectum,55
2020,Brain,167
2020,Rectum,59
2020,Pancreas,60
2020,Bladder,32
2020,Colon,142
2018,Liver,39
2018,Stomach,25
2013,Rectum,36
2020,Lung,84
2018,Bladder,23
2019,Brain,157
2019,Prostate,71
2017,Bladder,22
2020,Esophagus,17
2018,Rectum,74
2019,Bladder,25
2019,Lung,113
2019,Pancreas,54
2019,Stomach,23
2019,Liver,48
2019,Esophagus,15
2016,Stomach,23
2016,Prostate,197
2016,Pancreas,56
2016,Lung,79
2016,Esophagus,12
2016,Colon,132
2016,Breast,706
2016,Brain,157
2016,Bladder,22
2013,Pancreas,49
2018,Colon,145
2021,Stomach,24
2021,Bladder,32
2020,Prostate,26
2021,Prostate,35
2017,Esophagus,14
2021,Breast,642
2017,Colon,129
2018,Lung,103
2013,Liver,43
2017,Rectum,74
2019,Rectum,70
2020,Breast,608
2019,Breast,813
2019,Colon,155
2018,Breast,652
2018,Prostate,86
2018,Esophagus,16
2018,Brain,158
2018,Pancreas,47
2014,Bladder,21
2014,Brain,119
2014,Esophagus,11
2014,Liver,58
2014,Lung,198
2014,Pancreas,34
2014,Prostate,152
2014,Rectum,59
2014,Stomach,30
2014,Colon,131
2014,Breast,662
2013,Stomach,16
2017,Lung,86
2021,Lung,104
2013,Bladder,28
2013,Brain,121
2013,Breast,652
2013,Colon,109
2013,Lung,205
2013,Esophagus,23
2015,Bladder,14
2015,Brain,103
2015,Colon,86
2015,Esophagus,13
2015,Liver,26
2015,Breast,492
2015,Lung,142
2015,Pancreas,32
2015,Prostate,144
2015,Stomach,14
2015,Rectum,37
2017,Pancreas,49
2017,Prostate,158
2017,Breast,755
2017,Stomach,28
2013,Prostate,176
2017,Brain,168
2017,Liver,64
2021,Rectum,4
2021,Pancreas,2
2021,Bladder,2
2021,Brain,9
2021,Stomach,4
2016,Stomach,4
2019,Breast,30
2016,Rectum,6
2020,Breast,14
2020,Lung,12
2017,Breast,29
2017,Brain,8
2016,Colon,13
2020,Brain,10
2016,Pancreas,4
2016,Prostate,3
2019,Pancreas,2
2019,Stomach,1
2019,Prostate,11
2020,Prostate,13
2020,Rectum,3
2016,Breast,28
