Year,Surgery,# of Cases
2021,Esophagus,6
2013,Prostate,19
2021,Pancreas,3
2014,Pancreas,6
2019,Colon,48
2019,Lung,26
2020,Lung,22
2013,Colon,43
2020,Rectum,22
2017,Stomach,15
2020,Breast,259
2019,Breast,298
2015,Breast,215
2019,Stomach,15
2021,Breast,369
2014,Prostate,24
2016,Breast,292
2020,Bladder,1
2013,Breast,208
2019,Esophagus,1
2017,Liver,7
2015,Liver,9
2015,Colon,49
2016,Colon,88
2013,Rectum,14
2018,Liver,9
2020,Colon,51
2018,Rectum,28
2017,Rectum,28
2016,Bladder,2
2020,Pancreas,6
2018,Stomach,15
2021,Lung,24
2018,Colon,63
2019,Bladder,5
2013,Esophagus,2
2017,Lung,23
2014,Liver,7
2015,Pancreas,2
2017,Breast,303
2018,Prostate,25
2014,Lung,15
2015,Esophagus,1
2018,Bladder,1
2017,Esophagus,6
2013,Pancreas,10
2017,Prostate,25
2020,Stomach,15
2018,Lung,31
2015,Rectum,7
2013,Stomach,11
2016,Liver,13
2014,Rectum,13
2017,Pancreas,6
2020,Liver,6
2019,Pancreas,6
2016,Prostate,11
2020,Esophagus,6
2013,Liver,7
2021,Stomach,5
2021,Colon,48
2019,Rectum,22
2018,Breast,345
2021,Rectum,27
2020,Prostate,24
2017,Colon,69
2021,Prostate,17
2016,Esophagus,2
2019,Prostate,37
2018,Esophagus,5
2019,Liver,4
2014,Colon,60
2016,Stomach,17
2016,Rectum,25
2016,Lung,26
2015,Stomach,9
2013,Lung,22
2014,Stomach,9
2016,Stomach,3
2013,Liver,1
2019,Colon,6
2013,Bladder,1
2017,Breast,13
2019,Breast,1
2016,Colon,12
2016,Breast,15
2014,Rectum,2
2013,Rectum,3
2015,Stomach,1
2018,Breast,3
2016,Rectum,1
2017,Prostate,1
2015,Breast,11
2021,Rectum,3
2021,Prostate,1
2015,Colon,6
2020,Rectum,1
2020,Colon,2
2018,Liver,2
2018,Lung,1
2013,Colon,7
2014,Stomach,1
2014,Liver,2
2017,Stomach,3
2013,Prostate,1
2016,Liver,1
2021,Liver,1
2018,Stomach,1
2017,Colon,7
2017,Liver,1
2021,Stomach,2
2021,Colon,4
2013,Breast,17
2014,Breast,20
2018,Colon,7
2018,Rectum,3
2019,Rectum,3
2014,Colon,14
2019,Prostate,1
2017,Rectum,6
2018,Rectum,9
2017,Breast,25
2014,Lung,10
2018,Brain,4
2014,Colon,34
2014,Esophagus,2
2013,Stomach,2
2017,Prostate,3
2016,Colon,41
2015,Rectum,3
2015,Brain,3
2017,Colon,37
2015,Lung,4
2018,Breast,23
2018,Liver,1
2021,Stomach,3
2014,Brain,8
2015,Esophagus,2
2020,Stomach,2
2016,Liver,1
2017,Brain,9
2015,Colon,19
2014,Breast,34
2015,Stomach,1
2016,Pancreas,1
2018,Stomach,4
2019,Esophagus,1
2015,Breast,49
2016,Prostate,5
2021,Rectum,2
2019,Breast,20
2021,Brain,6
2018,Lung,3
2020,Bladder,1
2013,Brain,7
2016,Stomach,2
2016,Breast,37
2021,Lung,7
2020,Breast,14
2019,Rectum,9
2016,Rectum,9
2013,Prostate,3
2019,Prostate,4
2013,Colon,24
2020,Pancreas,1
2014,Prostate,3
2013,Esophagus,1
2021,Breast,11
2016,Esophagus,2
2016,Lung,7
2017,Rectum,5
2017,Esophagus,3
2020,Lung,2
2013,Breast,39
2013,Lung,3
2017,Lung,8
2016,Brain,12
2021,Bladder,2
2015,Prostate,1
2014,Rectum,6
2017,Liver,1
2019,Stomach,2
2021,Colon,25
2018,Prostate,4
2020,Prostate,2
2019,Brain,8
2013,Rectum,5
2020,Colon,27
2020,Brain,9
2014,Bladder,2
2014,Stomach,1
2019,Colon,18
2019,Lung,7
2020,Rectum,7
2018,Colon,24
2019,Rectum,2
2016,Liver,1
2017,Liver,1
2016,Stomach,2
2013,Colon,8
2013,Breast,20
2013,Rectum,1
2016,Colon,8
2018,Stomach,2
2018,Colon,6
2017,Colon,4
2019,Breast,2
2014,Colon,3
2018,Breast,2
2017,Breast,12
2017,Rectum,3
2015,Colon,4
2016,Rectum,2
2016,Breast,12
2018,Rectum,5
2019,Colon,2
2015,Breast,24
2014,Breast,21
2020,Breast,72
2021,Lung,15
2020,Colon,15
2018,Stomach,1
2014,Rectum,3
2017,Stomach,1
2014,Breast,65
2019,Lung,22
2019,Colon,20
2018,Colon,15
2017,Rectum,4
2016,Rectum,6
2019,Prostate,3
2015,Esophagus,1
2016,Stomach,2
2013,Lung,3
2018,Liver,2
2021,Colon,21
2013,Stomach,1
2016,Prostate,2
2020,Rectum,2
2018,Lung,8
2020,Prostate,5
2017,Breast,85
2017,Lung,6
2015,Lung,9
2020,Lung,13
2014,Colon,25
2019,Liver,1
2017,Colon,21
2016,Bladder,1
2013,Esophagus,3
2014,Stomach,2
2019,Rectum,2
2021,Breast,103
2014,Lung,9
2016,Breast,80
2016,Liver,1
2021,Rectum,2
2018,Rectum,1
2016,Lung,4
2021,Prostate,10
2021,Stomach,1
2013,Breast,64
2018,Breast,64
2013,Rectum,5
2017,Pancreas,1
2013,Colon,25
2015,Breast,50
2016,Colon,21
2019,Breast,57
2014,Esophagus,1
2015,Colon,13
2021,Colon,23
2018,Prostate,1
2020,Colon,21
2017,Rectum,8
2014,Lung,1
2015,Bladder,1
2017,Pancreas,1
2019,Breast,125
2021,Breast,252
2016,Bladder,1
2019,Rectum,7
2021,Liver,1
2020,Rectum,1
2014,Breast,48
2015,Colon,19
2014,Stomach,1
2016,Colon,30
2020,Breast,89
2020,Stomach,1
2014,Rectum,4
2019,Colon,17
2015,Breast,55
2015,Stomach,1
2018,Colon,30
2017,Breast,86
2015,Rectum,4
2014,Bladder,2
2019,Esophagus,1
2016,Breast,67
2014,Colon,15
2018,Breast,115
2017,Colon,38
2021,Prostate,1
2016,Rectum,9
2016,Stomach,2
2021,Rectum,1
2018,Rectum,4
2014,Breast,40
2017,Rectum,10
2019,Stomach,2
2016,Rectum,7
2016,Liver,3
2017,Bladder,3
2019,Rectum,8
2016,Prostate,1
2020,Rectum,7
2016,Colon,24
2018,Colon,20
2015,Colon,14
2013,Prostate,3
2013,Stomach,1
2019,Liver,2
2019,Colon,17
2016,Brain,35
2018,Stomach,1
2016,Lung,4
2021,Lung,2
2018,Brain,24
2021,Breast,76
2018,Bladder,2
2015,Brain,13
2013,Colon,13
2013,Pancreas,1
2016,Breast,61
2021,Rectum,4
2017,Brain,36
2014,Bladder,1
2018,Pancreas,1
2013,Breast,54
2021,Brain,22
2019,Brain,14
2017,Stomach,2
2015,Breast,40
2021,Stomach,2
2017,Colon,22
2018,Breast,78
2015,Bladder,3
2015,Stomach,1
2013,Brain,27
2014,Colon,22
2021,Prostate,2
2015,Esophagus,2
2019,Lung,4
2014,Lung,5
2021,Colon,13
2013,Bladder,1
2020,Colon,20
2015,Rectum,2
2017,Lung,3
2020,Stomach,1
2017,Prostate,2
2019,Pancreas,1
2013,Lung,10
2018,Prostate,1
2018,Rectum,6
2020,Breast,77
2018,Lung,8
2020,Prostate,5
2019,Breast,66
2016,Stomach,2
2018,Liver,1
2013,Rectum,3
2017,Liver,2
2013,Liver,1
2014,Prostate,1
2017,Breast,67
2017,Pancreas,1
2020,Liver,1
2019,Bladder,2
2014,Brain,21
2020,Brain,38
2015,Lung,1
2014,Rectum,2
2015,Pancreas,13
2015,Prostate,26
2017,Lung,97
2018,Colon,76
2019,Liver,50
